artist_name,artist_id,duration,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,199751.0,67.4,0.5875,0.08432189999999999,0.6887000000000001,3.4699999999999997e-07,0.14099,-4.598599999999999,0.10932000000000001,131.7788,0.4337
AJ Mitchell,6dn6x1XOng3LOAnfTjUn77,188420.7,48.6,0.639,0.28157,0.5444,1.5720000000000002e-06,0.08849,-6.2955,0.05373,125.48689999999999,0.4164
Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,175063.6,69.7,0.6513,0.5157999999999999,0.6,0.00011533000000000001,0.20869999999999997,-5.5586,0.055499999999999994,126.94680000000001,0.5999
Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,211559.8,63.4,0.49420000000000003,0.31378000000000006,0.5732,2.994e-05,0.11914,-6.813,0.11948,122.98769999999999,0.3749
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,180918.0,68.6,0.6218,0.151372,0.7128,1.761e-05,0.16224,-4.825200000000001,0.08822,106.0026,0.4833299999999999
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,188456.5,83.6,0.6616,0.2797,0.5781,1.2185000000000001e-05,0.12779000000000001,-7.023000000000001,0.0745,113.75160000000001,0.4258
Ashe,6P5NO5hzJbuOqSdyPB7SJM,186649.8,57.0,0.5657,0.397685,0.47430000000000005,0.001227297,0.17017,-8.3846,0.0351,112.23800000000001,0.4189
Austin Mahone,04abdnqPQe2N4fjztDea6z,207639.9,48.6,0.6958,0.1677937,0.7064,1.2290000000000001e-05,0.18711,-5.2103,0.07436000000000001,122.4912,0.6437999999999999
Austin Moon,1eBGyqw9kLsidL0q2dimWF,182197.4,39.9,0.6437999999999999,0.015917999999999998,0.8711,1.878e-06,0.13435999999999998,-5.2204999999999995,0.09715,134.1637,0.7963
Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,160858.1,67.1,0.7108000000000001,0.26429,0.6526,7.09e-07,0.17507,-5.4469,0.053649999999999996,130.8941,0.5082
