song_name,song_id,duration,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,album_name,album_id,album_release_date,artist_name,artist_id
Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m,228965,95,0.504,0.502,0.386,1.53e-05,0.0961,-10.976,0.0308,192.004,0.281,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,2024-04-18,Taylor Swift,06HL4z0CvFAxyc27GXpf02
I Can Do It With a Broken Heart,4q5YezDOIPcoLr8R81x9qy,218005,90,0.701,0.123,0.751,0.0,0.15,-8.39,0.0502,129.994,0.22,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,2024-04-18,Taylor Swift,06HL4z0CvFAxyc27GXpf02
Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,178427,94,0.552,0.117,0.702,2.06e-05,0.105,-5.707,0.157,169.994,0.564,Lover,1NAmidJlEaVgA3MpcPFYGq,2019-08-23,Taylor Swift,06HL4z0CvFAxyc27GXpf02
Down Bad,2F3N9tdombb64aW6VtZOdo,261228,87,0.541,0.56,0.366,1e-06,0.0946,-10.412,0.0748,159.707,0.168,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,2024-04-18,Taylor Swift,06HL4z0CvFAxyc27GXpf02
Who’s Afraid of Little Old Me?,36t6frENUtCYKuZus6aYDO,334085,83,0.606,0.315,0.338,0.0,0.106,-10.555,0.048,119.88,0.238,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,2024-04-18,Taylor Swift,06HL4z0CvFAxyc27GXpf02
"So Long, London",3Vevii7qKqrmW8CcyzBHDl,262975,84,0.423,0.73,0.533,0.00264,0.0816,-11.388,0.322,160.218,0.248,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,2024-04-18,Taylor Swift,06HL4z0CvFAxyc27GXpf02
Guilty as Sin?,0W0iAC1VGlB82PI6elxFYf,254366,83,0.626,0.607,0.428,0.0,0.0921,-8.374,0.0261,94.95,0.487,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,2024-04-18,Taylor Swift,06HL4z0CvFAxyc27GXpf02
My Boy Only Breaks His Favorite Toys,2XXwLdtuAcE0HSCu61ijAb,203801,82,0.596,0.137,0.563,0.0,0.302,-7.362,0.0269,97.073,0.481,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,2024-04-18,Taylor Swift,06HL4z0CvFAxyc27GXpf02
But Daddy I Love Him,5og4Qzt92jJzVDkOtSEilb,340428,82,0.521,0.384,0.72,0.0,0.135,-7.684,0.104,79.943,0.438,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,2024-04-18,Taylor Swift,06HL4z0CvFAxyc27GXpf02
The Tortured Poets Department,3NMrVbIVWT3fPXBj0rNDKG,293048,82,0.604,0.0483,0.428,0.0,0.126,-8.441,0.0255,110.259,0.292,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,2024-04-18,Taylor Swift,06HL4z0CvFAxyc27GXpf02
Calm Down (with Selena Gomez),1s7oOCT8vauUh01PbJD6ps,239318,76,0.801,0.382,0.806,0.000669,0.114,-5.206,0.0381,106.999,0.802,Rave & Roses Ultra,0nayxjaX54Frd7GsZq6Pbs,2023-04-27,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx
Lose You To Love Me,4l0Mvzj72xxOpRrp6h8nHi,206459,78,0.516,0.55,0.342,0.0,0.21,-8.985,0.0425,102.819,0.0993,Rare,3YPFaTR7WMi1Hd4NVKdCJx,2020-01-10,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,220781,76,0.64,0.119,0.533,0.0,0.0864,-6.596,0.0706,99.968,0.515,It Ain't Me (with Selena Gomez),0IUCAsckpNyV4wHKIHQawC,2017-02-16,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx
Single Soon,6iF4RgIjDvDqyW13PezSj3,171655,77,0.61,0.00863,0.571,0.0,0.131,-5.649,0.0782,105.01,0.747,Single Soon,6EejduBuRYb7rzJaD2YCqO,2023-08-25,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx
Wolves,0tBbt8CrmxbjRP0pueQkyU,197993,76,0.725,0.124,0.804,0.0,0.204,-4.614,0.0422,124.996,0.31,Wolves,5gQZvWM1o8NkQndueJtZcP,2017-10-25,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx
People You Know,63mdJr3NMY3wReOkNE6c6W,194900,75,0.695,0.0881,0.62,5.43e-05,0.111,-8.082,0.0521,150.032,0.619,Rare,3YPFaTR7WMi1Hd4NVKdCJx,2020-01-10,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx
Love On,2fB5YRuD88drKpCXQOAk03,181650,75,0.751,0.202,0.519,1.15e-06,0.08,-6.265,0.0372,116.023,0.534,Love On,7I7rbWQoLZ7PrTMsRfocpL,2024-02-22,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx
Back To You - From 13 Reasons Why – Season 2 Soundtrack,4hQ6UGyWQIGJmHSo0J88JW,207905,72,0.6,0.0933,0.725,1.87e-06,0.12,-4.866,0.0487,102.056,0.506,Back To You (From 13 Reasons Why – Season 2 Soundtrack),3N7eWDCvfWv34xWNohdHjO,2018-05-10,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx
Fetish (feat. Gucci Mane),4lnAN2S1fcI0SjxEbksZVr,186113,73,0.708,0.0204,0.618,6.81e-06,0.062,-4.424,0.0592,123.013,0.265,Fetish (feat. Gucci Mane),3x97AnoAAIBGJuqZSTtVte,2017-07-13,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx
Same Old Love,6ZANrVuAMp2rpjhfbOuJly,229080,68,0.672,0.0223,0.593,0.0,0.214,-4.01,0.0304,98.02,0.438,Revival (Deluxe),3Kbuu2tHsIbplFUkB7a5oE,2015-10-09,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx
vampire,1kuGVB7EU95pJObxwvfwKS,219724,88,0.484,0.154,0.53,0.0,0.263,-5.821,0.0538,136.848,0.323,GUTS,1xJHno7SmdVtZAtXbdbDZp,2023-09-08,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
obsessed,6tNgRQ0K2NYZ0Rb9l9DzL8,170542,86,0.68,0.0181,0.581,1.07e-06,0.276,-5.166,0.106,119.974,0.63,GUTS (spilled),1D06fz3cuob62ysTS8k6gu,2024-03-22,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
traitor,5CZ40GBx1sQ9agT82CLQCT,229227,86,0.38,0.691,0.339,0.0,0.12,-7.885,0.0338,100.607,0.0849,SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
deja vu,6HU7h9RYOaPRFeh0R3UeAr,215507,85,0.442,0.584,0.612,5.7e-06,0.37,-7.222,0.112,180.917,0.178,SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
drivers license,5wANPM4fQCJwkGd4rN57mH,242013,85,0.561,0.768,0.431,1.42e-05,0.106,-8.81,0.0578,143.875,0.137,SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
good 4 u,4ZtFanR9U6ndgddUvNcjcG,178147,84,0.563,0.335,0.664,0.0,0.0849,-5.044,0.154,166.928,0.688,SOUR,6s84u2TUpR3wdUv4NgKA2j,2021-05-21,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
