song_name,song_id,duration,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,album_name,album_id,album_release_date,artist_name,artist_id
He Could Be the One,07HPV6hzecJmMJwsIX8YVU,180800,63,0.602,0.00154,0.894,0.0,0.433,-3.975,0.032,125.988,0.643,Hannah Montana 3,0bKrYLZrKCH5qGzgwPxLcl,2009-01-01,Hannah Montana,7nU4hB040gTmHm45YYMvqc
I'll Always Remember You,60c0p6GGnuwdKcQnmuM2zC,233333,63,0.418,0.0486,0.721,0.0,0.0984,-2.736,0.0383,144.063,0.233,Hannah Montana Forever,6FUFS9PRGUTyVrsltg1xji,2010-01-01,Hannah Montana,7nU4hB040gTmHm45YYMvqc
You'll Always Find Your Way Back Home,5MK1I5GUnP0Bfppb50ftP9,224187,51,0.578,0.0304,0.906,0.0,0.189,-3.673,0.0583,152.945,0.692,"Disney 2000s, Vol. 1",6IaStDegtGslQ7C2PQRfgl,2024-04-26,Hannah Montana,7nU4hB040gTmHm45YYMvqc
Ordinary Girl,2kIq7Oq6YNfdUuTrmPC4w1,177507,62,0.411,0.0265,0.847,0.0,0.222,-3.705,0.219,182.496,0.398,Hannah Montana Forever,6FUFS9PRGUTyVrsltg1xji,2010-01-01,Hannah Montana,7nU4hB040gTmHm45YYMvqc
"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version",6Z0F3Mqj7tq1CBZo5qMlUg,174120,62,0.676,0.0512,0.861,0.0,0.0613,-3.645,0.0501,124.031,0.681,Hannah Montana,0TyDqWrWHzuyFjjnKqDClu,2006-01-01,Hannah Montana,7nU4hB040gTmHm45YYMvqc
Nobody's Perfect,7c223RltkvhN8wrxIqspM5,200827,58,0.594,0.0597,0.977,3.49e-06,0.309,-4.193,0.0647,131.98,0.793,Hannah Montana 2 (Original Soundtrack),2Kl34Wu4F27ptdgtUoErJs,2007-06-26,Hannah Montana,7nU4hB040gTmHm45YYMvqc
Rock Star,6KN9atd3DRhmSRWeCSKkkL,178560,58,0.483,0.00437,0.945,1.56e-06,0.364,-3.969,0.124,160.794,0.625,Hannah Montana 2 (Original Soundtrack),2Kl34Wu4F27ptdgtUoErJs,2007-06-26,Hannah Montana,7nU4hB040gTmHm45YYMvqc
Gonna Get This,1y6Y28gA3mNHSs7RDLrDKs,196867,55,0.676,0.0214,0.769,0.0,0.0797,-3.513,0.0464,100.02,0.781,Hannah Montana Forever,6FUFS9PRGUTyVrsltg1xji,2010-01-01,Hannah Montana,7nU4hB040gTmHm45YYMvqc
I Wanna Know You,6ftcAmQPmGbk7Gkr5MJe4T,166893,54,0.684,0.127,0.741,0.0,0.348,-3.892,0.0276,83.999,0.821,Hannah Montana 3,0bKrYLZrKCH5qGzgwPxLcl,2009-01-01,Hannah Montana,7nU4hB040gTmHm45YYMvqc
"If We Were A Movie - From ""Hannah Montana""/Soundtrack Version",52Dw5hXeylenurLTKoFJfZ,183293,53,0.608,0.00528,0.867,0.0,0.0643,-4.683,0.0307,94.008,0.866,Hannah Montana,0TyDqWrWHzuyFjjnKqDClu,2006-01-01,Hannah Montana,7nU4hB040gTmHm45YYMvqc
